org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
frankhommers,Hangfire.PostgreSql,0.20,,,,3400000,663000,0.195,,,,,,
GoogleChromeLabs,proxx,0.20,,,,3379000,663000,0.1962119,,,,,,
Abirank,github-slideshow,0.20,,,,3369000,663000,0.1967943,,,,,,
DFE-Digital,govuk_design_system_formbuilder,0.20,,,,3348000,663000,0.19802867,,,,,,
Adyen,adyen-android,0.20,,,,3346000,663000,0.19814704,,,,,,
microsoft,InteractiveDataDisplay.WPF,0.20,,,,3345000,663000,0.19820628,,,,,,
tsantalis,RefactoringMiner,0.20,,,,3341000,663000,0.19844358,,,,,,
argman,EAST,0.20,,,,3332000,663000,0.19897959,,,,,,
layday,instawow,0.20,,,,3328000,663000,0.19921875,,,,,,
fablabbcn,smartcitizen-api,0.20,,,,3327000,663000,0.19927862,,,,,,
darribas,gds_env,0.20,,,,3325000,663000,0.1993985,,,,,,
getgauge,gauge-java,0.20,,,,3325000,663000,0.1993985,,,,,,
Kensuke-Mitsuzawa,JapaneseTokenizers,0.20,,,,3323000,663000,0.1995185,,,,,,
agiliway,com.agiliway.civimobileapi,0.20,,,,3317000,663000,0.19987941,,,,,,
mrfambo,froala-problem,0.20,,,,3314000,663000,0.20006035,,,,,,
HackSoftware,django-enum-choices,0.20,,,,3302000,663000,0.2007874,,,,,,
Coloringvideoskids,Coloring-videoskids,0.20,,,,3299000,663000,0.20097,,,,,,
JuliaIO,HDF5.jl,0.20,,,,3297000,663000,0.2010919,,,,,,
Sym123Blue,GitHubQAAutomation2608d4c5-60b1-4e56-9163-317ec912df11,0.20,,,,3292000,663000,0.20139733,,,,,,
Kik0hi,Forsaken,0.20,,,,3290000,663000,0.20151976,,,,,,
Abirank,intro-html,0.20,,,,3275000,663000,0.20244275,,,,,,
Kbdman,Tools,0.20,,,,3270000,663000,0.20275229,,,,,,
we-plugin,we-cropper,0.20,,,,3257000,663000,0.20356156,,,,,,
obet912,Test,0.20,,,,3244000,663000,0.20437731,,,,,,
tscanlin,tocbot,0.20,,,,3244000,663000,0.20437731,,,,,,
microsoft,pai,0.19,27,40344,6.692445E-4,3537000,663000,0.18744698,,,,4.5,40344.0,1.1154075E-4
ACINQ,eclair-mobile,0.19,2,40344,4.9573668E-5,3558000,663000,0.18634064,,,,2.0,40344.0,4.9573668E-5
dotnet,dotnet-docker,0.19,6,40344,1.48721E-4,3498000,663000,0.18953688,8334000,0,0.0,3.0,40344.0,7.43605E-5
cloudfoundry,dotnet-core-buildpack,0.19,3,40344,7.43605E-5,3471000,663000,0.19101124,,,,3.0,40344.0,7.43605E-5
